Timestamp,n-transactions
2013-12-10 00:00:00,67623
2013-12-13 00:00:00,60059
2013-12-16 00:00:00,69382
2013-12-19 00:00:00,70278
2013-12-22 00:00:00,52897
2013-12-25 00:00:00,55428
2013-12-28 00:00:00,48009
2013-12-31 00:00:00,48847
2014-01-03 00:00:00,60980
2014-01-06 00:00:00,67358
2014-01-09 00:00:00,59031
2014-01-12 00:00:00,50537
2014-01-15 00:00:00,61612
2014-01-18 00:00:00,51573
2014-01-21 00:00:00,72577
2014-01-24 00:00:00,65600
2014-01-27 00:00:00,64374
2014-01-30 00:00:00,60799
2014-02-02 00:00:00,52483
2014-02-05 00:00:00,67529
2014-02-08 00:00:00,65009
2014-02-11 00:00:00,67229
2014-02-14 00:00:00,74889
2014-02-17 00:00:00,60853
2014-02-20 00:00:00,71144
2014-02-23 00:00:00,60198
2014-02-26 00:00:00,71897
2014-03-01 00:00:00,63402
2014-03-04 00:00:00,84600
2014-03-07 00:00:00,72345
2014-03-10 00:00:00,70884
2014-03-13 00:00:00,72805
2014-03-16 00:00:00,59332
2014-03-19 00:00:00,73804
2014-03-22 00:00:00,66673
2014-03-25 00:00:00,71883
2014-03-28 00:00:00,67079
2014-03-31 00:00:00,65448
2014-04-03 00:00:00,67075
2014-04-06 00:00:00,50010
2014-04-09 00:00:00,65153
2014-04-12 00:00:00,47740
2014-04-15 00:00:00,72809
2014-04-18 00:00:00,56996
2014-04-21 00:00:00,58110
2014-04-24 00:00:00,72694
2014-04-27 00:00:00,52629
2014-04-30 00:00:00,63657
2014-05-03 00:00:00,54157
2014-05-06 00:00:00,77228
2014-05-09 00:00:00,66293
2014-05-12 00:00:00,74418
2014-05-15 00:00:00,74893
2014-05-18 00:00:00,49912
2014-05-21 00:00:00,68905
2014-05-24 00:00:00,52872
2014-05-27 00:00:00,68524
2014-05-30 00:00:00,65127
2014-06-02 00:00:00,64434
2014-06-05 00:00:00,66945
2014-06-08 00:00:00,48308
2014-06-11 00:00:00,62827
2014-06-14 00:00:00,53596
2014-06-17 00:00:00,70077
2014-06-20 00:00:00,57381
2014-06-23 00:00:00,60216
2014-06-26 00:00:00,61432
2014-06-29 00:00:00,49922
2014-07-02 00:00:00,66728
2014-07-05 00:00:00,49954
2014-07-08 00:00:00,70117
2014-07-11 00:00:00,59077
2014-07-14 00:00:00,62761
2014-07-17 00:00:00,66233
2014-07-20 00:00:00,52001
2014-07-23 00:00:00,66883
2014-07-26 00:00:00,56333
2014-07-29 00:00:00,61607
2014-08-01 00:00:00,67915
2014-08-04 00:00:00,67847
2014-08-07 00:00:00,69913
2014-08-10 00:00:00,57913
2014-08-13 00:00:00,75738
2014-08-16 00:00:00,67974
2014-08-19 00:00:00,74740
2014-08-22 00:00:00,66998
2014-08-25 00:00:00,69894
2014-08-28 00:00:00,68628
2014-08-31 00:00:00,57755
2014-09-03 00:00:00,71868
2014-09-06 00:00:00,63369
2014-09-09 00:00:00,81812
2014-09-12 00:00:00,68384
2014-09-15 00:00:00,78666
2014-09-18 00:00:00,77364
2014-09-21 00:00:00,59800
2014-09-24 00:00:00,74974
2014-09-27 00:00:00,62973
2014-09-30 00:00:00,78006
2014-10-03 00:00:00,75121
2014-10-06 00:00:00,78049
2014-10-09 00:00:00,82789
2014-10-12 00:00:00,63509
2014-10-15 00:00:00,76257
2014-10-18 00:00:00,66477
2014-10-21 00:00:00,81651
2014-10-24 00:00:00,77906
2014-10-27 00:00:00,83977
2014-10-30 00:00:00,92622
2014-11-02 00:00:00,77170
2014-11-05 00:00:00,89460
2014-11-08 00:00:00,72717
2014-11-11 00:00:00,85618
2014-11-14 00:00:00,86307
2014-11-17 00:00:00,88354
2014-11-20 00:00:00,89388
2014-11-23 00:00:00,77283
2014-11-26 00:00:00,85111
2014-11-29 00:00:00,79098
2014-12-02 00:00:00,99419
2014-12-05 00:00:00,90900
2014-12-08 00:00:00,90746
2014-12-11 00:00:00,84005
2014-12-14 00:00:00,79703
2014-12-17 00:00:00,98444
2014-12-20 00:00:00,86901
2014-12-23 00:00:00,99469
2014-12-26 00:00:00,76198
2014-12-29 00:00:00,83447
2015-01-01 00:00:00,59344
2015-01-04 00:00:00,85694
2015-01-07 00:00:00,89916
2015-01-10 00:00:00,104874
2015-01-13 00:00:00,102309
2015-01-16 00:00:00,104699
2015-01-19 00:00:00,98485
2015-01-22 00:00:00,93698
2015-01-25 00:00:00,86558
2015-01-28 00:00:00,85232
2015-01-31 00:00:00,86312
2015-02-03 00:00:00,91793
2015-02-06 00:00:00,85705
2015-02-09 00:00:00,104758
2015-02-12 00:00:00,87427
2015-02-15 00:00:00,85267
2015-02-18 00:00:00,105719
2015-02-21 00:00:00,87827
2015-02-24 00:00:00,105125
2015-02-27 00:00:00,101474
2015-03-02 00:00:00,104937
2015-03-05 00:00:00,101115
2015-03-08 00:00:00,87527
2015-03-11 00:00:00,100765
2015-03-14 00:00:00,89511
2015-03-17 00:00:00,99561
2015-03-20 00:00:00,103532
2015-03-23 00:00:00,106019
2015-03-26 00:00:00,101181
2015-03-29 00:00:00,90516
2015-04-01 00:00:00,119343
2015-04-04 00:00:00,89651
2015-04-07 00:00:00,108714
2015-04-10 00:00:00,112826
2015-04-13 00:00:00,115407
2015-04-16 00:00:00,99046
2015-04-19 00:00:00,91134
2015-04-22 00:00:00,111878
2015-04-25 00:00:00,98465
2015-04-28 00:00:00,113193
2015-05-01 00:00:00,99560
2015-05-04 00:00:00,104000
2015-05-07 00:00:00,111125
2015-05-10 00:00:00,89409
2015-05-13 00:00:00,108858
2015-05-16 00:00:00,90686
2015-05-19 00:00:00,107346
