Timestamp,n-transactions-excluding-popular
2015-07-19 00:00:00,120887
2015-07-22 00:00:00,131259
2015-07-25 00:00:00,100544
2015-07-28 00:00:00,118350
2015-07-31 00:00:00,147503
2015-08-03 00:00:00,119844
2015-08-06 00:00:00,134838
2015-08-09 00:00:00,90534
2015-08-12 00:00:00,117898
2015-08-15 00:00:00,94944
2015-08-18 00:00:00,119798
2015-08-21 00:00:00,113792
2015-08-24 00:00:00,125368
2015-08-27 00:00:00,119917
2015-08-30 00:00:00,98339
2015-09-02 00:00:00,150066
2015-09-05 00:00:00,124218
2015-09-08 00:00:00,125379
2015-09-11 00:00:00,180002
2015-09-14 00:00:00,166715
2015-09-17 00:00:00,259279
2015-09-20 00:00:00,109158
2015-09-23 00:00:00,131400
2015-09-26 00:00:00,115622
2015-09-29 00:00:00,140664
2015-10-02 00:00:00,139746
2015-10-05 00:00:00,125548
2015-10-08 00:00:00,140348
2015-10-11 00:00:00,104550
2015-10-14 00:00:00,141985
2015-10-17 00:00:00,135911
2015-10-20 00:00:00,146349
2015-10-23 00:00:00,143468
2015-10-26 00:00:00,116400
2015-10-29 00:00:00,161062
2015-11-01 00:00:00,152488
2015-11-04 00:00:00,204198
2015-11-07 00:00:00,151497
2015-11-10 00:00:00,161962
2015-11-13 00:00:00,154827
2015-11-16 00:00:00,158316
2015-11-19 00:00:00,154483
2015-11-22 00:00:00,129659
2015-11-25 00:00:00,151861
2015-11-28 00:00:00,165676
2015-12-01 00:00:00,178112
2015-12-04 00:00:00,173586
2015-12-07 00:00:00,192830
2015-12-10 00:00:00,212036
2015-12-13 00:00:00,189914
2015-12-16 00:00:00,220420
2015-12-19 00:00:00,213876
2015-12-22 00:00:00,222717
2015-12-25 00:00:00,180383
2015-12-28 00:00:00,173129
2015-12-31 00:00:00,155362
2016-01-03 00:00:00,142608
2016-01-06 00:00:00,172090
2016-01-09 00:00:00,179968
2016-01-12 00:00:00,194874
2016-01-15 00:00:00,183642
2016-01-18 00:00:00,213905
2016-01-21 00:00:00,222743
2016-01-24 00:00:00,201425
2016-01-27 00:00:00,229677
2016-01-30 00:00:00,194794
2016-02-02 00:00:00,241722
2016-02-05 00:00:00,225488
2016-02-08 00:00:00,224755
2016-02-11 00:00:00,220934
2016-02-14 00:00:00,186088
2016-02-17 00:00:00,227235
2016-02-20 00:00:00,215728
2016-02-23 00:00:00,244748
2016-02-26 00:00:00,203635
2016-02-29 00:00:00,265320
2016-03-03 00:00:00,221652
2016-03-06 00:00:00,161739
2016-03-09 00:00:00,190388
2016-03-12 00:00:00,168013
2016-03-15 00:00:00,202426
2016-03-18 00:00:00,206022
2016-03-21 00:00:00,199006
2016-03-24 00:00:00,190094
2016-03-27 00:00:00,160266
2016-03-30 00:00:00,201028
