Timestamp,n-unique-addresses
2015-08-28 00:00:00,243645
2015-08-31 00:00:00,247407
2015-09-03 00:00:00,246972
2015-09-06 00:00:00,252302
2015-09-09 00:00:00,251368
2015-09-12 00:00:00,229007
2015-09-15 00:00:00,268665
2015-09-18 00:00:00,259008
2015-09-21 00:00:00,291556
2015-09-24 00:00:00,243301
2015-09-27 00:00:00,256084
2015-09-30 00:00:00,264581
2015-10-03 00:00:00,213681
2015-10-06 00:00:00,251844
2015-10-09 00:00:00,209703
2015-10-12 00:00:00,233677
2015-10-15 00:00:00,303248
2015-10-18 00:00:00,276825
2015-10-21 00:00:00,289412
2015-10-24 00:00:00,316588
2015-10-27 00:00:00,294013
2015-10-30 00:00:00,308255
2015-11-02 00:00:00,309823
2015-11-05 00:00:00,358734
2015-11-08 00:00:00,312946
2015-11-11 00:00:00,308741
2015-11-14 00:00:00,328381
2015-11-17 00:00:00,298212
2015-11-20 00:00:00,301700
2015-11-23 00:00:00,280821
2015-11-26 00:00:00,314907
2015-11-29 00:00:00,239211
2015-12-02 00:00:00,357585
2015-12-05 00:00:00,393380
2015-12-08 00:00:00,388080
2015-12-11 00:00:00,381204
2015-12-14 00:00:00,412673
2015-12-17 00:00:00,383742
2015-12-20 00:00:00,409195
2015-12-23 00:00:00,382171
2015-12-26 00:00:00,367108
2015-12-29 00:00:00,331379
2016-01-01 00:00:00,263121
2016-01-04 00:00:00,344268
2016-01-07 00:00:00,364236
2016-01-10 00:00:00,365165
2016-01-13 00:00:00,339655
2016-01-16 00:00:00,406524
2016-01-19 00:00:00,336941
2016-01-22 00:00:00,398872
2016-01-25 00:00:00,420289
2016-01-28 00:00:00,430552
2016-01-31 00:00:00,402413
2016-02-03 00:00:00,368096
2016-02-06 00:00:00,419675
2016-02-09 00:00:00,425454
2016-02-12 00:00:00,399936
2016-02-15 00:00:00,421244
2016-02-18 00:00:00,415599
2016-02-21 00:00:00,442857
2016-02-24 00:00:00,382913
2016-02-27 00:00:00,386100
2016-03-01 00:00:00,483492
2016-03-04 00:00:00,377324
2016-03-07 00:00:00,327348
2016-03-10 00:00:00,366983
2016-03-13 00:00:00,351625
2016-03-16 00:00:00,371938
2016-03-19 00:00:00,358458
2016-03-22 00:00:00,391714
2016-03-25 00:00:00,332910
2016-03-28 00:00:00,355562
2016-03-31 00:00:00,340536
2016-04-03 00:00:00,362201
2016-04-06 00:00:00,400648
2016-04-09 00:00:00,353010
2016-04-12 00:00:00,418258
2016-04-15 00:00:00,368762
2016-04-18 00:00:00,391408
2016-04-21 00:00:00,401683
2016-04-24 00:00:00,377166
2016-04-27 00:00:00,386129
